GSE63577_BJ_transcripts,GSE63577_IMR90_transcripts,voic_epithelia_sen_transcripts,GSE63577_HFF_transcripts,GSE105951_PD78_transcripts,GSE130727_IMR90_transcripts,GSE130727_WI38_transcripts,GSE64553_MRC5_transcripts,GSE109700_early_sen_transcripts,GSE109700_deep_sen_transcripts,GSE64553_HFF_transcripts,GSE63577_MRC5_transcripts,GSE63577_WI38_transcripts
ENST00000437822 - TAF6,ENST00000420250 - ASNSD1,ENST00000359704 - RNF217,ENST00000564057 - COTL1,ENST00000580759 - ZNF207,ENST00000515641 - ANKRD50,ENST00000481713 - PIP5K1A,ENST00000465809 - PXDN,ENST00000409933 - AFTPH,ENST00000530131 - RDX,ENST00000533305 - LMO7,ENST00000458161 - MEST,ENST00000451895 - PSG4
ENST00000532942 - nan,ENST00000430085 - CALD1,ENST00000262710 - ACIN1,ENST00000405269 - SLC8A1,ENST00000474644 - COL1A1,ENST00000366581 - HEATR1,ENST00000497037 - ANKRD28,ENST00000612385 - missing,ENST00000425719 - NTM,ENST00000623065 - nan,ENST00000367387 - LHX9,ENST00000449081 - KCTD20,ENST00000494812 - TFDP1
ENST00000598436 - EEF2,ENST00000617198 - DDX1,ENST00000330722 - KRT6A,ENST00000560773 - SRP14,ENST00000421374 - SPECC1L,ENST00000513594 - PDE5A,ENST00000570206 - SALL1,ENST00000471268 - KDELR3,ENST00000434476 - SCRN1,ENST00000493452 - FLNB,ENST00000593238 - JSRP1,ENST00000520523 - PLAT,ENST00000558308 - UACA
ENST00000407356 - PSG5,ENST00000402219 - SOS1,ENST00000374630 - EPHB2,ENST00000608018 - LSP1P4,ENST00000506290 - RASA1,ENST00000400163 - COL4A2,ENST00000430954 - TRIP12,ENST00000525878 - CSDE1,ENST00000522542 - YWHAZ,ENST00000451655 - BACH1,ENST00000543393 - RAP1B,ENST00000508500 - missing,ENST00000537508 - SLC3A2
ENST00000446946 - ALDH1A1,ENST00000507327 - RPS3A,ENST00000583694 - FGD4,ENST00000635846 - CDC73,ENST00000577538 - ZNF407,ENST00000540040 - MTRNR2L1,ENST00000509490 - PDGFRA,ENST00000497846 - ADAM10,ENST00000581441 - NFE2L1,ENST00000619499 - missing,ENST00000492739 - NDUFB4,ENST00000534980 - DDX6,ENST00000506154 - NEDD4
ENST00000395308 - KTN1,ENST00000510998 - PALLD,ENST00000306125 - QARS1,ENST00000359161 - RFX2,ENST00000470286 - DYNC1I2,ENST00000577583 - TAOK1,ENST00000379960 - ITSN1,ENST00000588852 - SAFB,ENST00000513882 - MYO10,ENST00000423956 - RAD50,ENST00000420512 - CERCAM,ENST00000543485 - MMP2,ENST00000464116 - XRCC6
ENST00000541932 - FLT1,ENST00000405312 - PSG4,ENST00000458059 - CNEP1R1,ENST00000394205 - SCOC,ENST00000453115 - EIF4HP1,ENST00000545328 - SEC23A,ENST00000487087 - FILIP1L,ENST00000542921 - JMJD1C,ENST00000546732 - DIP2B,ENST00000420794 - missing,ENST00000347359 - STOM,ENST00000492739 - NDUFB4,ENST00000490769 - PSG4
ENST00000372807 - ODF2,ENST00000512964 - CHIC2,ENST00000252252 - KRT6B,ENST00000347359 - STOM,ENST00000218328 - HUWE1,ENST00000430085 - CALD1,ENST00000528839 - EIF4G2,ENST00000524845 - PPP6R3,ENST00000461010 - PPP2R5D,ENST00000530786 - BDNF,ENST00000401992 - PSG5,ENST00000426482 - NBPF19,ENST00000560165 - ANXA2
ENST00000464489 - MYLK,ENST00000357055 - SLC30A6,ENST00000375413 - BPIFA1,ENST00000461070 - EIF2S2P4,ENST00000510774 - ATP2C1,ENST00000604604 - MORC4,ENST00000473519 - STIM2,ENST00000578351 - ARHGDIA,ENST00000566739 - FEM1B,ENST00000530173 - NPEPPS,ENST00000564057 - COTL1,ENST00000407925 - LTBP1,ENST00000297350 - TNFRSF11B
ENST00000624710 - nan,ENST00000380633 - TMSB4X,ENST00000269217 - LAMA3,ENST00000512975 - CCT5,ENST00000560773 - SRP14,ENST00000614186 - missing,ENST00000261535 - ROCK2,ENST00000494950 - PLOD2,ENST00000484114 - LAMC1,ENST00000532165 - JAM3,ENST00000589923 - GRN,ENST00000529277 - CD82,ENST00000443024 - IARS1
ENST00000415807 - FNDC3B,ENST00000426482 - NBPF19,ENST00000591247 - LSM12,ENST00000443024 - IARS1,ENST00000369635 - SNX14,ENST00000341023 - H2AC7,ENST00000547540 - OSBPL8,ENST00000381294 - IL6ST,ENST00000396429 - OSBPL3,ENST00000566229 - CYBA,ENST00000637049 - FTO,ENST00000372807 - ODF2,ENST00000405570 - CTNNB1
ENST00000532993 - ARHGEF12,ENST00000426713 - MTLN,ENST00000613865 - RPS24,ENST00000532133 - TRPC6,ENST00000588344 - CIRBP,ENST00000506495 - SEC31A,ENST00000454569 - SCN9A,ENST00000543704 - M6PR,ENST00000360642 - CLCN3,ENST00000401701 - MYH9,ENST00000637426 - missing,ENST00000372419 - PRPS1,ENST00000512964 - CHIC2
ENST00000504952 - DCK,ENST00000465582 - SSBP1,ENST00000264170 - KYNU,ENST00000463622 - SCFD1,ENST00000422242 - RAB5A,ENST00000541428 - ASPH,ENST00000378520 - PREPL,ENST00000543485 - MMP2,ENST00000399338 - ITSN1,ENST00000510461 - FNIP1,ENST00000455547 - EIF3D,ENST00000525981 - RPL27A,ENST00000482293 - CD99
ENST00000542921 - JMJD1C,ENST00000590013 - PIK3C3,ENST00000368388 - TPD52L1,ENST00000570012 - MBTPS1,ENST00000529046 - CSDE1,ENST00000550419 - CDK4,ENST00000473570 - GBA1,ENST00000436321 - MDH1,ENST00000344730 - ABL2,ENST00000586722 - ATP9B,ENST00000443010 - RPSAP11,ENST00000382041 - NIN,ENST00000483110 - missing
ENST00000360642 - CLCN3,ENST00000495670 - AIDA,ENST00000627093 - DBI,ENST00000619481 - REV3L,ENST00000455982 - DENR,ENST00000532993 - ARHGEF12,ENST00000620436 - SLC16A6,ENST00000530131 - RDX,ENST00000439203 - DST,ENST00000557135 - WARS1,ENST00000597093 - PSG11,ENST00000512756 - COL11A1,ENST00000409469 - CUL1
ENST00000508501 - LIMCH1,ENST00000514354 - NHP2,ENST00000473453 - TXNDC5,ENST00000592282 - ZNF260,ENST00000479060 - AK4,ENST00000579301 - SMURF2P1,ENST00000488587 - U2SURP,ENST00000637049 - FTO,ENST00000562826 - ITGA11,ENST00000520638 - RNF145,ENST00000415807 - FNDC3B,ENST00000620821 - NBPF20,ENST00000610980 - IBTK
ENST00000414679 - PLCB4,ENST00000627982 - ZNF302,ENST00000458694 - PRICKLE4,ENST00000515017 - ANXA5,ENST00000379960 - ITSN1,ENST00000326277 - SNX18,ENST00000492888 - KIAA0319L,ENST00000430085 - CALD1,ENST00000463427 - TMEM87B,ENST00000582341 - ATP5PD,ENST00000517352 - TNFRSF11B,ENST00000372403 - KCNMA1,ENST00000334567 - TMEM212
ENST00000405162 - RCAN2,ENST00000519511 - STC2,ENST00000532777 - ZNF7,ENST00000412887 - PDCD6IP,ENST00000438277 - UGGT1,ENST00000359611 - H2AC17,ENST00000529307 - CAPRIN1,ENST00000422669 - LTBP1,ENST00000401042 - MIER1,ENST00000401042 - MIER1,ENST00000557135 - WARS1,ENST00000274487 - ADAMTS19,ENST00000468844 - RPL39
ENST00000396861 - GAPDH,ENST00000512309 - COPB2,ENST00000296343 - RUBCN,ENST00000542921 - JMJD1C,ENST00000380938 - ERBIN,ENST00000553585 - HSP90AA1,ENST00000406957 - XPO1,ENST00000491493 - PGD,ENST00000539745 - H4-16,ENST00000528931 - MICAL2,ENST00000433498 - RPSAP53,ENST00000372879 - TOMM7,ENST00000540242 - C1R
ENST00000409330 - NBN,ENST00000618656 - RPS20,ENST00000449045 - PPT1,ENST00000420250 - ASNSD1,ENST00000509814 - ITGA2,ENST00000488500 - EEF1A1,ENST00000523027 - DPYSL2,ENST00000422602 - RIPOR1,ENST00000564631 - TMX3,ENST00000413878 - CDH2,ENST00000409567 - DCTN1,ENST00000425628 - DHX40,ENST00000428370 - RABGEF1P1
ENST00000539277 - TMTC1,ENST00000452361 - INO80B-WBP1,ENST00000396026 - ZNF133,ENST00000392029 - QSOX1,ENST00000514505 - BTF3,ENST00000521939 - RARS1,ENST00000438543 - WWC2,ENST00000564326 - CYLD,ENST00000540115 - ACSL3,ENST00000621961 - PCDH7,ENST00000357055 - SLC30A6,ENST00000527573 - CSRP1,ENST00000497370 - PPIE
ENST00000485198 - ACAD11,ENST00000525469 - CD44,ENST00000536859 - SERINC2,ENST00000514888 - PAICS,ENST00000498479 - RC3H2,ENST00000409567 - DCTN1,ENST00000421381 - ETV1,ENST00000367888 - MGST3,ENST00000405289 - EHBP1,ENST00000498224 - SLC20A1,ENST00000352931 - PTK7,ENST00000580070 - NCOA4,ENST00000512309 - COPB2
ENST00000409469 - CUL1,ENST00000560165 - ANXA2,ENST00000374893 - ECE1,ENST00000433714 - BBS9,ENST00000629385 - ABCC4,ENST00000439638 - MDN1,ENST00000556196 - MYO5A,ENST00000539925 - LTBR,ENST00000423956 - RAD50,ENST00000621856 - SPAST,ENST00000436321 - MDH1,ENST00000476936 - CAPZA1,ENST00000542921 - JMJD1C
ENST00000520226 - DLC1,ENST00000541434 - CADM1,ENST00000594439 - HOMER3,ENST00000460469 - NMD3,ENST00000442183 - ANKIB1,ENST00000331128 - H2AC21,ENST00000428713 - TLE4,ENST00000636945 - SCN8A,ENST00000418984 - EEA1,ENST00000465627 - UBA3,ENST00000493185 - CLTA,ENST00000612385 - missing,ENST00000422669 - LTBP1
ENST00000460469 - NMD3,ENST00000478064 - LAMC1,ENST00000391867 - MRPL55,ENST00000611816 - HECTD1,ENST00000637049 - FTO,ENST00000502752 - FER,ENST00000394327 - NUP58,ENST00000540242 - C1R,ENST00000621961 - PCDH7,ENST00000218328 - HUWE1,ENST00000463229 - EIF3B,ENST00000452931 - HDLBP,ENST00000541434 - CADM1
ENST00000394205 - SCOC,ENST00000476936 - CAPZA1,ENST00000531863 - DPP3,ENST00000476359 - NLGN4Y,ENST00000409232 - TGOLN2,ENST00000380250 - missing,ENST00000471555 - ATP11A,ENST00000393301 - CTSC,ENST00000528420 - UVRAG,ENST00000564631 - TMX3,ENST00000519511 - STC2,ENST00000470455 - ATP6V1A,ENST00000483409 - SSR1
ENST00000436321 - MDH1,ENST00000485198 - ACAD11,ENST00000356577 - SON,ENST00000496791 - GPX1,ENST00000543091 - LRP6,ENST00000506889 - MGAT1,ENST00000585744 - BCAS3,ENST00000420848 - WASHC2C,ENST00000489041 - MTHFD2,ENST00000512756 - COL11A1,ENST00000461760 - STK25,ENST00000447540 - CHD9,ENST00000503413 - FGF5
ENST00000552285 - OS9,ENST00000403987 - LIF,ENST00000530997 - NIN,ENST00000534700 - PDXDC2P,ENST00000491395 - APP,ENST00000521328 - YWHAZ,ENST00000583147 - TWSG1,ENST00000491586 - POGZ,ENST00000461760 - STK25,ENST00000336643 - SLC39A9,ENST00000367391 - LHX9,ENST00000588852 - SAFB,ENST00000593466 - DDA1
ENST00000590013 - PIK3C3,ENST00000619481 - REV3L,ENST00000555567 - PGF,ENST00000552285 - OS9,ENST00000566718 - MGA,ENST00000525469 - CD44,ENST00000271877 - UBAP2L,ENST00000623253 - CD99,ENST00000566229 - CYBA,ENST00000463959 - MTR,ENST00000398295 - LDHAP7,ENST00000502306 - nan,ENST00000519511 - STC2
ENST00000493237 - MME,ENST00000548458 - C12orf75,ENST00000457928 - TBL1XR1,ENST00000332191 - ROBO2,ENST00000470133 - PLOD1,ENST00000541434 - CADM1,ENST00000559103 - CCDC32,ENST00000544168 - AKT1,ENST00000401701 - MYH9,ENST00000506290 - RASA1,ENST00000380250 - missing,ENST00000393896 - ACLY,ENST00000488400 - SNRPG
ENST00000476936 - CAPZA1,ENST00000356660 - BDNF,ENST00000312060 - CTU2,ENST00000508035 - FAT1,ENST00000544400 - DDX47,ENST00000315274 - MMP1,ENST00000414108 - WAC,ENST00000493889 - KIF5B,ENST00000474644 - COL1A1,ENST00000615923 - nan,ENST00000457660 - SLC3A2,ENST00000487927 - TRIM8,ENST00000461883 - DENND2A
ENST00000558847 - GOLM2,ENST00000367512 - EDEM3,ENST00000539247 - ARMCX6,ENST00000597648 - RPL18A,ENST00000538864 - HEATR5A,ENST00000367444 - RO60,ENST00000409532 - ITGA6,ENST00000600720 - EEF2,ENST00000398706 - ZSWIM8,ENST00000415447 - missing,ENST00000477544 - SARS1,ENST00000558847 - GOLM2,ENST00000493185 - CLTA
ENST00000551016 - RACGAP1,ENST00000493889 - KIF5B,ENST00000394384 - AAAS,ENST00000562998 - CDH11,ENST00000463310 - BZW1,ENST00000455217 - TARS1,ENST00000504899 - F2RL2,ENST00000527605 - PAMR1,ENST00000370269 - SLF2,ENST00000616927 - PLEKHA2,ENST00000521597 - TNFRSF11B,ENST00000593052 - RPS15,ENST00000367512 - EDEM3
ENST00000619481 - REV3L,ENST00000433498 - RPSAP53,ENST00000302291 - LUZP1,ENST00000420120 - DCN,ENST00000511880 - PPEF2,ENST00000372807 - ODF2,ENST00000464496 - RAB7A,ENST00000617962 - GADD45A,ENST00000547045 - APAF1,ENST00000492772 - SND1,ENST00000511134 - GRAMD2B,ENST00000353662 - ACAP3,ENST00000504952 - DCK
ENST00000514505 - BTF3,ENST00000450115 - TP53BP1,ENST00000392209 - CCNYL1,ENST00000468379 - NIBAN2,ENST00000465539 - ZNF271P,ENST00000504880 - SLC38A9,ENST00000541428 - ASPH,ENST00000436949 - SEMA3A,ENST00000498224 - SLC20A1,ENST00000409465 - STAT1,ENST00000583011 - RPL26,ENST00000621845 - RRM2B,ENST00000548898 - CD63
ENST00000552909 - LIMA1,ENST00000494831 - LAMB2,ENST00000250055 - SOX15,ENST00000334567 - TMEM212,ENST00000556360 - PCNX4,ENST00000597912 - PSG4,ENST00000520276 - TRPS1,ENST00000520337 - CTHRC1,ENST00000534223 - FADS3,ENST00000465835 - REV1,ENST00000389131 - LOXL2,ENST00000598436 - EEF2,ENST00000589906 - LGALS3BP
ENST00000422242 - RAB5A,ENST00000467683 - UBE2Q1,ENST00000450723 - CYP51A1,ENST00000498236 - CDC42,ENST00000361243 - AKAP13,ENST00000585930 - SEPTIN9,ENST00000511859 - RNF4,ENST00000453408 - MINK1,ENST00000508369 - FAM13A,ENST00000513968 - SEMA5A,ENST00000329509 - PSG2,ENST00000337363 - CCDC68,ENST00000558847 - GOLM2
ENST00000399338 - ITSN1,ENST00000508515 - ERBIN,ENST00000547889 - POTEM,ENST00000521928 - RDH10,ENST00000471275 - KIDINS220,ENST00000498626 - CAPZA1,ENST00000569253 - RIPOR1,ENST00000503795 - RASGRF2,ENST00000468041 - RUSC2,ENST00000451279 - PCYOX1,ENST00000396861 - GAPDH,ENST00000276072 - TAF1,ENST00000616883 - TBP
ENST00000506260 - PAM,ENST00000439442 - TANK,ENST00000264012 - CDH3,ENST00000439442 - TANK,ENST00000578646 - MIB1,ENST00000502326 - IL6ST,ENST00000502371 - APC,ENST00000589923 - GRN,ENST00000557268 - PPP2R5C,ENST00000543580 - GPR176,ENST00000451956 - GNAI2,ENST00000581842 - PSMC5,ENST00000356660 - BDNF
ENST00000593104 - PRKCSH,ENST00000498603 - SEC61B,ENST00000368092 - SLAMF9,ENST00000493889 - KIF5B,ENST00000380927 - SECISBP2L,ENST00000519011 - FZD6,ENST00000451408 - CEP170,ENST00000463622 - SCFD1,ENST00000547294 - CORO1C,ENST00000537508 - SLC3A2,ENST00000599595 - UBA52,ENST00000588826 - RAD23A,ENST00000296289 - TKT
ENST00000593238 - JSRP1,ENST00000486001 - ACTG1P20,ENST00000284245 - C16orf74,ENST00000303395 - SCN1A,ENST00000344700 - RPS10,ENST00000447673 - SLC35F5,ENST00000558544 - TPM1,ENST00000395308 - KTN1,ENST00000463959 - MTR,ENST00000455217 - TARS1,ENST00000467075 - RPL11,ENST00000623253 - CD99,ENST00000526430 - NEDD8
ENST00000380748 - HMGN1,ENST00000472765 - CCT3,ENST00000444643 - DNAJB12,ENST00000514354 - NHP2,ENST00000525209 - CD44,ENST00000324774 - CAMKK2,ENST00000409398 - COQ10B,ENST00000506357 - SGCB,ENST00000263934 - KIF1B,ENST00000472398 - TTC3,ENST00000541932 - FLT1,ENST00000409908 - MDH1,ENST00000335110 - FAT4
ENST00000507166 - nan,ENST00000624710 - nan,ENST00000282633 - WASHC2A,ENST00000622388 - FOLR3,ENST00000558830 - MORF4L1,ENST00000563576 - MGA,ENST00000518287 - NCOA2,ENST00000614186 - missing,ENST00000503631 - IBTK,ENST00000372714 - KAT6B,ENST00000373701 - OGT,ENST00000517352 - TNFRSF11B,ENST00000498603 - SEC61B
ENST00000270077 - PSG9,ENST00000457312 - SF3B4,ENST00000504290 - TP53,ENST00000555318 - STAT6,ENST00000492072 - CPA4,ENST00000627032 - GLG1,ENST00000555544 - AHNAK2,ENST00000520627 - RPS20,ENST00000424869 - ZEB1,ENST00000409421 - MIER3,ENST00000316793 - OXTR,ENST00000450913 - CPED1,ENST00000402219 - SOS1
ENST00000588852 - SAFB,ENST00000522293 - MGAT4B,ENST00000454591 - ECHDC1,ENST00000490286 - DPP4,ENST00000532133 - TRPC6,ENST00000406439 - SZT2,ENST00000537754 - ASB8,ENST00000518910 - CTNNA1,ENST00000548902 - NUAK1,ENST00000547045 - APAF1,ENST00000303354 - SCN9A,ENST00000491493 - PGD,ENST00000427171 - ANO10
ENST00000409662 - SLC38A11,ENST00000497370 - PPIE,ENST00000619060 - PHLDA1,ENST00000398603 - GSTP1,ENST00000604705 - missing,ENST00000525209 - CD44,ENST00000547250 - ATP5F1B,ENST00000462163 - RPN2,ENST00000615923 - nan,ENST00000465376 - JAK1,ENST00000487806 - GNG5,ENST00000524845 - PPP6R3,ENST00000592282 - ZNF260
ENST00000381294 - IL6ST,ENST00000539782 - LDHB,ENST00000628514 - SUGCT,ENST00000359755 - AKAP12,ENST00000564328 - PEAK1,ENST00000471234 - TNPO3,ENST00000581267 - BLTP2,ENST00000585930 - SEPTIN9,ENST00000506290 - RASA1,ENST00000565832 - CHD9,ENST00000505593 - LOX,ENST00000616939 - GPN1,ENST00000529546 - TXNRD1
ENST00000610980 - IBTK,ENST00000611390 - CDK13,ENST00000543351 - VDAC2,ENST00000264169 - ORC4,ENST00000549502 - METAP2,ENST00000437805 - SAMD9L,ENST00000636945 - SCN8A,ENST00000563915 - MVP,ENST00000446924 - BRWD1,ENST00000473537 - BZW1P2,ENST00000428370 - RABGEF1P1,ENST00000418984 - EEA1,ENST00000568562 - ATP6V0C
ENST00000613960 - missing,ENST00000549606 - CDK4,ENST00000447742 - DMPK,ENST00000497370 - PPIE,ENST00000378511 - PREPL,ENST00000244534 - H1-3,ENST00000451604 - SOX5,ENST00000389272 - STAT3,ENST00000498626 - CAPZA1,ENST00000533305 - LMO7,ENST00000461965 - GLS,ENST00000551405 - SLC38A2,ENST00000507327 - RPS3A
ENST00000461870 - GLIS3,ENST00000467075 - RPL11,ENST00000619133 - CD24,ENST00000538577 - SLC35B2,ENST00000282633 - WASHC2A,ENST00000549499 - FGD6,ENST00000263398 - CD44,ENST00000600467 - RPS19,ENST00000455168 - ARL8B,ENST00000636815 - ASAH1,ENST00000492132 - SELENOT,ENST00000542921 - JMJD1C,ENST00000456400 - RPN2
ENST00000498009 - ATXN10,ENST00000591198 - SEPTIN9,ENST00000619162 - ANXA8L1,ENST00000509769 - USP53,ENST00000579645 - USP22,ENST00000609928 - TOR1AIP2,ENST00000614410 - ALMS1,ENST00000529546 - TXNRD1,ENST00000489458 - SGK1,ENST00000550669 - E2F7,ENST00000521309 - YWHAZ,ENST00000555870 - MIPOL1,ENST00000436321 - MDH1
ENST00000230418 - PTK7,ENST00000549130 - TMBIM6,ENST00000422087 - PNPLA8,ENST00000622098 - CDK16,ENST00000597374 - PSG4,ENST00000539745 - H4-16,ENST00000405269 - SLC8A1,ENST00000424869 - ZEB1,ENST00000444904 - MYO9A,ENST00000541240 - KIFC3,ENST00000611155 - XBP1,ENST00000480226 - ITGB1,ENST00000429002 - TXNRD1
ENST00000358637 - ASTN2,ENST00000538763 - ENO2,ENST00000406374 - MAST4,ENST00000618387 - PODN,ENST00000577583 - TAOK1,ENST00000519517 - EIF3E,ENST00000592619 - VMP1,ENST00000395565 - MDK,ENST00000421431 - UBL4A,ENST00000633113 - DDAH1,ENST00000474281 - PGK1,ENST00000494831 - LAMB2,ENST00000593104 - PRKCSH
ENST00000567300 - MT2A,ENST00000537782 - SDHAF2,ENST00000370390 - MTMR1,ENST00000468844 - RPL39,ENST00000552909 - LIMA1,ENST00000330331 - RGPD6,ENST00000393929 - CCNG1,ENST00000483110 - missing,ENST00000541170 - LUC7L2,ENST00000588216 - TNPO2,ENST00000523927 - ASPH,ENST00000507996 - KDM3B,ENST00000523739 - FZD6
ENST00000478966 - SERPINE2,ENST00000527316 - DHCR7,ENST00000549581 - PRR13,ENST00000530675 - BIRC2,ENST00000594907 - HNRNPM,ENST00000328306 - SLC9A7,ENST00000372079 - PRDX1,ENST00000380748 - HMGN1,ENST00000443119 - nan,ENST00000379904 - ERAP2,ENST00000487927 - TRIM8,ENST00000462132 - MEST,ENST00000543704 - M6PR
ENST00000263556 - P4HA1,ENST00000583011 - RPL26,ENST00000518448 - FAM83A,ENST00000616865 - UBXN1,ENST00000482188 - MAGED1,ENST00000539739 - DDB1,ENST00000524049 - CCNC,ENST00000436399 - PTGES3,ENST00000342651 - ZNF12,ENST00000478842 - SSR3,ENST00000532993 - ARHGEF12,ENST00000558830 - MORF4L1,ENST00000540914 - RIPOR2
ENST00000428370 - RABGEF1P1,ENST00000290341 - IGF2BP1,ENST00000496850 - STK26,ENST00000498999 - MTND4P12,ENST00000546850 - CCT2,ENST00000340074 - UBE3B,ENST00000503213 - GALNT7,ENST00000403681 - HMGA2,ENST00000527414 - DICER1,ENST00000401506 - LBH,ENST00000409823 - PMS1,ENST00000547837 - SPRYD3,ENST00000443817 - CPED1
ENST00000635855 - KBTBD11-OT1,ENST00000523108 - MGAT4B,ENST00000392318 - MYO1B,ENST00000599962 - H2BC12L,ENST00000507947 - G3BP2,ENST00000461758 - TLE4,ENST00000523968 - KIF13B,ENST00000522635 - TCEA1,ENST00000534700 - PDXDC2P,ENST00000508369 - FAM13A,ENST00000476396 - DNAJB4,ENST00000443913 - CTSK,ENST00000447184 - PRDX1
ENST00000361883 - KRTAP1-5,ENST00000463229 - EIF3B,ENST00000624873 - SRGAP2,ENST00000424248 - DENND3,ENST00000412887 - PDCD6IP,ENST00000623321 - ATRX,ENST00000380250 - missing,ENST00000524596 - LIN7C,ENST00000405585 - STK25,ENST00000610051 - SUCO,ENST00000409215 - GLS,ENST00000415140 - LTBP1,ENST00000380785 - MID1
ENST00000543704 - M6PR,ENST00000517496 - ASH2L,ENST00000403681 - HMGA2,ENST00000367218 - ATP2B4,ENST00000465851 - SLC39A10,ENST00000542502 - MDM2,ENST00000429412 - FSIP2,ENST00000483086 - HDLBP,ENST00000510461 - FNIP1,ENST00000585301 - SMURF2,ENST00000520700 - TRAM1,ENST00000478574 - S100A10,ENST00000392201 - COX6B1
ENST00000503759 - LOX,ENST00000578351 - ARHGDIA,ENST00000572490 - DHX33,ENST00000420512 - CERCAM,ENST00000471632 - TMEM87B,ENST00000426572 - ZKSCAN1,ENST00000519080 - TEK,ENST00000521309 - YWHAZ,ENST00000425485 - DYNC1I2,ENST00000409484 - CYBRD1,ENST00000519510 - PLAT,ENST00000523108 - MGAT4B,ENST00000531180 - EIF4G2
ENST00000564057 - COTL1,ENST00000358543 - ALKAL1,ENST00000380051 - RPP40,ENST00000429412 - FSIP2,ENST00000627576 - CORO1B,ENST00000547034 - TMTC3,ENST00000608018 - LSP1P4,ENST00000543258 - M6PR,ENST00000564328 - PEAK1,ENST00000304218 - H1-4,ENST00000376991 - DRAP1,ENST00000594907 - HNRNPM,ENST00000353662 - ACAP3
ENST00000475111 - TMEM30A,ENST00000508500 - missing,ENST00000542485 - ACVR1B,ENST00000360674 - ADAM15,ENST00000395308 - KTN1,ENST00000505789 - nan,ENST00000530131 - RDX,ENST00000463229 - EIF3B,ENST00000522761 - G3BP1,ENST00000615742 - DDX3X,ENST00000409469 - CUL1,ENST00000415447 - missing,ENST00000422125 - PTGR1
ENST00000545208 - TJP1,ENST00000520700 - TRAM1,ENST00000324774 - CAMKK2,ENST00000517352 - TNFRSF11B,ENST00000444904 - MYO9A,ENST00000612966 - H3C3,ENST00000419281 - NRBP1,ENST00000476936 - CAPZA1,ENST00000555031 - WARS1,ENST00000512211 - APC,ENST00000439442 - TANK,ENST00000463263 - MEST,ENST00000529770 - ATP5MG
ENST00000455547 - EIF3D,ENST00000394083 - GAPVD1,ENST00000380773 - WRNIP1,ENST00000404580 - PSG5,ENST00000395168 - ARID4A,ENST00000437169 - NCSTN,ENST00000354558 - CKAP5,ENST00000472765 - CCT3,ENST00000433542 - CCDC14,ENST00000619481 - REV3L,ENST00000503759 - LOX,ENST00000522761 - G3BP1,ENST00000545588 - missing
ENST00000524845 - PPP6R3,ENST00000561171 - MORF4L1,ENST00000254043 - KRT15,ENST00000474267 - WNT5A,ENST00000539739 - DDB1,ENST00000458707 - VPS50,ENST00000494950 - PLOD2,ENST00000470204 - SLC35F5,ENST00000566327 - SNAP23,ENST00000577538 - ZNF407,ENST00000270077 - PSG9,ENST00000520700 - TRAM1,ENST00000490569 - EEF1A1
ENST00000521946 - SULF1,ENST00000523768 - TNPO1,ENST00000525643 - IL32,ENST00000473257 - ACTB,ENST00000460469 - NMD3,ENST00000588993 - ZNF260,ENST00000451122 - CAV1,ENST00000461070 - EIF2S2P4,ENST00000616927 - PLEKHA2,ENST00000517361 - ZFPM2,ENST00000485198 - ACAD11,ENST00000493889 - KIF5B,ENST00000541240 - KIFC3
ENST00000464364 - DDOST,ENST00000591032 - RPS15,ENST00000532259 - SRPRA,ENST00000488400 - SNRPG,ENST00000517593 - EMC2,ENST00000534511 - DKK3,ENST00000546007 - ANKRD12,ENST00000475220 - FKBP9,ENST00000426982 - KIAA0319L,ENST00000360905 - ERC1,ENST00000517777 - ADAMTS1,ENST00000426523 - ARAP1,ENST00000361883 - KRTAP1-5
ENST00000492772 - SND1,ENST00000524698 - TXNRD1,ENST00000355338 - WARS1,ENST00000380633 - TMSB4X,ENST00000554230 - GNPNAT1,ENST00000394890 - P4HA1,ENST00000444541 - MTMR2,ENST00000545588 - missing,ENST00000507996 - KDM3B,ENST00000432261 - RNF24,ENST00000409908 - MDH1,ENST00000539743 - CPT1A,ENST00000593948 - PSG9
ENST00000541428 - ASPH,ENST00000549338 - SLC25A3,ENST00000505820 - MIB2,ENST00000563275 - PKM,ENST00000587351 - FAM32A,ENST00000558863 - ZEB1,ENST00000510925 - APBB2,ENST00000513319 - LOX,ENST00000547252 - SLC38A2,ENST00000547540 - OSBPL8,ENST00000486653 - UBE2V1,ENST00000439274 - APP,ENST00000539782 - LDHB
ENST00000433498 - RPSAP53,ENST00000395565 - MDK,ENST00000317012 - ZBED2,ENST00000494277 - DKK1,ENST00000511304 - PAPSS1,ENST00000546576 - TPH2,ENST00000543680 - SOS2,ENST00000569253 - RIPOR1,ENST00000393629 - MON2,ENST00000510664 - CCNG1,ENST00000534700 - PDXDC2P,ENST00000514354 - NHP2,ENST00000594769 - nan
ENST00000486085 - RTN4,ENST00000623936 - nan,ENST00000414866 - DMKN,ENST00000249887 - ACKR4,ENST00000423829 - ICAM1,ENST00000533214 - SNX19,ENST00000559494 - TSPAN3,ENST00000430767 - SEC14L1,ENST00000567345 - missing,ENST00000614102 - FAT1,ENST00000370058 - L1CAM,ENST00000540242 - C1R,ENST00000624710 - nan
