Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
positive regulation of memory T cell differentiation (GO:0043382)	1/9	0.01519926045554118	0.06863416049455315	0	0	75.59848484848484	316.4936999007962	TNFSF4
regulation of gap junction assembly (GO:1903596)	1/9	0.01519926045554118	0.06863416049455315	0	0	75.59848484848484	316.4936999007962	TBX5
positive regulation of protein kinase C signaling (GO:0090037)	1/9	0.01519926045554118	0.06863416049455315	0	0	75.59848484848484	316.4936999007962	WNT5A
detection of mechanical stimulus involved in sensory perception of sound (GO:0050910)	1/9	0.01519926045554118	0.06863416049455315	0	0	75.59848484848484	316.4936999007962	COL11A1
pericardium development (GO:0060039)	1/9	0.01519926045554118	0.06863416049455315	0	0	75.59848484848484	316.4936999007962	TBX5
embryonic forelimb morphogenesis (GO:0035115)	1/9	0.01519926045554118	0.06863416049455315	0	0	75.59848484848484	316.4936999007962	TBX5
tumor necrosis factor-mediated signaling pathway (GO:0033209)	2/116	0.016577728913190464	0.06915978794859468	0	0	10.883771929824562	44.62014662597905	TNFSF4;TNFRSF11B
positive regulation of cell projection organization (GO:0031346)	2/117	0.016848248650897457	0.06915978794859468	0	0	10.788586956521739	44.05528724355415	BDNF;WNT5A
regulation of receptor binding (GO:1900120)	1/10	0.016874167453351394	0.06915978794859468	0	0	67.1952861952862	274.2892350890436	BDNF
forelimb morphogenesis (GO:0035136)	1/10	0.016874167453351394	0.06915978794859468	0	0	67.1952861952862	274.2892350890436	TBX5
lactation (GO:0007595)	1/10	0.016874167453351394	0.06915978794859468	0	0	67.1952861952862	274.2892350890436	OXTR
cellular response to prostaglandin stimulus (GO:0071379)	1/10	0.016874167453351394	0.06915978794859468	0	0	67.1952861952862	274.2892350890436	TNFSF4
nerve growth factor signaling pathway (GO:0038180)	1/10	0.016874167453351394	0.06915978794859468	0	0	67.1952861952862	274.2892350890436	BDNF
complement activation, lectin pathway (GO:0001867)	1/10	0.016874167453351394	0.06915978794859468	0	0	67.1952861952862	274.2892350890436	COLEC10
regulation of memory T cell differentiation (GO:0043380)	1/10	0.016874167453351394	0.06915978794859468	0	0	67.1952861952862	274.2892350890436	TNFSF4
Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation (GO:1904953)	1/10	0.016874167453351394	0.06915978794859468	0	0	67.1952861952862	274.2892350890436	WNT5A
cellular response to oxygen-containing compound (GO:1901701)	3/323	0.017254833605046257	0.06915978794859468	0	0	5.94133064516129	24.119799987542518	TNFSF4;WNT5A;PDCD1LG2
negative regulation of bone remodeling (GO:0046851)	1/11	0.018546309917010683	0.06915978794859468	0	0	60.472727272727276	241.13405880391542	GREM1
regulation of stress-activated protein kinase signaling cascade (GO:0070302)	1/11	0.018546309917010683	0.06915978794859468	0	0	60.472727272727276	241.13405880391542	GREM1
positive regulation of chondrocyte differentiation (GO:0032332)	1/11	0.018546309917010683	0.06915978794859468	0	0	60.472727272727276	241.13405880391542	LOXL2
regulation of cardiac muscle cell differentiation (GO:2000725)	1/11	0.018546309917010683	0.06915978794859468	0	0	60.472727272727276	241.13405880391542	GREM1
negative regulation of interleukin-17 production (GO:0032700)	1/11	0.018546309917010683	0.06915978794859468	0	0	60.472727272727276	241.13405880391542	TNFSF4
hematopoietic stem cell proliferation (GO:0071425)	1/11	0.018546309917010683	0.06915978794859468	0	0	60.472727272727276	241.13405880391542	WNT5A
positive regulation of interleukin-13 production (GO:0032736)	1/11	0.018546309917010683	0.06915978794859468	0	0	60.472727272727276	241.13405880391542	TNFSF4
response to prostaglandin E (GO:0034695)	1/11	0.018546309917010683	0.06915978794859468	0	0	60.472727272727276	241.13405880391542	TNFSF4
inhibitory synapse assembly (GO:1904862)	1/11	0.018546309917010683	0.06915978794859468	0	0	60.472727272727276	241.13405880391542	WNT5A
negative regulation of T-helper cell differentiation (GO:0045623)	1/11	0.018546309917010683	0.06915978794859468	0	0	60.472727272727276	241.13405880391542	TNFSF4
cellular response to UV-A (GO:0071492)	1/11	0.018546309917010683	0.06915978794859468	0	0	60.472727272727276	241.13405880391542	MMP1
regulation of mesenchymal cell proliferation (GO:0010464)	1/11	0.018546309917010683	0.06915978794859468	0	0	60.472727272727276	241.13405880391542	WNT5A
midbrain dopaminergic neuron differentiation (GO:1904948)	1/11	0.018546309917010683	0.06915978794859468	0	0	60.472727272727276	241.13405880391542	WNT5A
postsynapse assembly (GO:0099068)	1/11	0.018546309917010683	0.06915978794859468	0	0	60.472727272727276	241.13405880391542	WNT5A
embryonic eye morphogenesis (GO:0048048)	1/11	0.018546309917010683	0.06915978794859468	0	0	60.472727272727276	241.13405880391542	FBN2
negative regulation of activated T cell proliferation (GO:0046007)	1/11	0.018546309917010683	0.06915978794859468	0	0	60.472727272727276	241.13405880391542	PDCD1LG2
circulatory system development (GO:0072359)	2/126	0.019367294436680824	0.0717583088743687	0	0	10.00100806451613	39.44567087073603	FOXL1;TBX5
negative regulation of cellular response to vascular endothelial growth factor stimulus (GO:1902548)	1/12	0.020215692219209058	0.0721275932265607	0	0	54.972451790633606	214.4638136267328	ADAMTS12
regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043370)	1/12	0.020215692219209058	0.0721275932265607	0	0	54.972451790633606	214.4638136267328	TNFSF4
regulation of cell communication by electrical coupling involved in cardiac conduction (GO:1901844)	1/12	0.020215692219209058	0.0721275932265607	0	0	54.972451790633606	214.4638136267328	TBX5
negative regulation of leukocyte chemotaxis (GO:0002689)	1/12	0.020215692219209058	0.0721275932265607	0	0	54.972451790633606	214.4638136267328	GREM1
regulation of flagellated sperm motility (GO:1901317)	1/12	0.020215692219209058	0.0721275932265607	0	0	54.972451790633606	214.4638136267328	PGAM4
presynapse organization (GO:0099172)	1/12	0.020215692219209058	0.0721275932265607	0	0	54.972451790633606	214.4638136267328	WNT5A
positive regulation of cellular process (GO:0048522)	4/625	0.020846592938433058	0.07392227434610005	0	0	4.153515834675255	16.076451987890945	FGF5;GREM1;TNFSF4;WNT5A
positive regulation of CD4-positive, alpha-beta T cell activation (GO:2000516)	1/13	0.021882318729235836	0.07477857159845971	0	0	50.388888888888886	192.59017962885017	TNFSF4
cardiac cell development (GO:0055006)	1/13	0.021882318729235836	0.07477857159845971	0	0	50.388888888888886	192.59017962885017	ALPK2
negative regulation of mononuclear cell migration (GO:0071676)	1/13	0.021882318729235836	0.07477857159845971	0	0	50.388888888888886	192.59017962885017	GREM1
negative regulation of myotube differentiation (GO:0010832)	1/13	0.021882318729235836	0.07477857159845971	0	0	50.388888888888886	192.59017962885017	BDNF
embryonic appendage morphogenesis (GO:0035113)	1/13	0.021882318729235836	0.07477857159845971	0	0	50.388888888888886	192.59017962885017	TBX5
positive regulation of response to external stimulus (GO:0032103)	2/139	0.02326667233634487	0.07477857159845971	0	0	9.046076642335766	34.01988179163412	TNFSF4;WNT5A
positive regulation of alpha-beta T cell differentiation (GO:0046638)	1/14	0.023546193825120534	0.07477857159845971	0	0	46.51048951048951	174.35810878919273	TNFSF4
negative regulation of bone mineralization (GO:0030502)	1/14	0.023546193825120534	0.07477857159845971	0	0	46.51048951048951	174.35810878919273	GREM1
genitalia development (GO:0048806)	1/14	0.023546193825120534	0.07477857159845971	0	0	46.51048951048951	174.35810878919273	WNT5A
heterochromatin organization (GO:0070828)	1/14	0.023546193825120534	0.07477857159845971	0	0	46.51048951048951	174.35810878919273	LOXL2
cardiac left ventricle morphogenesis (GO:0003214)	1/14	0.023546193825120534	0.07477857159845971	0	0	46.51048951048951	174.35810878919273	TBX5
response to UV-A (GO:0070141)	1/14	0.023546193825120534	0.07477857159845971	0	0	46.51048951048951	174.35810878919273	MMP1
secondary palate development (GO:0062009)	1/14	0.023546193825120534	0.07477857159845971	0	0	46.51048951048951	174.35810878919273	WNT5A
negative regulation of T cell differentiation (GO:0045581)	1/14	0.023546193825120534	0.07477857159845971	0	0	46.51048951048951	174.35810878919273	TNFSF4
regulation of macrophage cytokine production (GO:0010935)	1/14	0.023546193825120534	0.07477857159845971	0	0	46.51048951048951	174.35810878919273	WNT5A
positive regulation of T cell chemotaxis (GO:0010820)	1/14	0.023546193825120534	0.07477857159845971	0	0	46.51048951048951	174.35810878919273	WNT5A
positive regulation of T-helper cell differentiation (GO:0045624)	1/14	0.023546193825120534	0.07477857159845971	0	0	46.51048951048951	174.35810878919273	TNFSF4
positive regulation of type 2 immune response (GO:0002830)	1/14	0.023546193825120534	0.07477857159845971	0	0	46.51048951048951	174.35810878919273	TNFSF4
regulation of protein kinase C signaling (GO:0090036)	1/14	0.023546193825120534	0.07477857159845971	0	0	46.51048951048951	174.35810878919273	WNT5A
positive regulation of protein phosphorylation (GO:0001934)	3/371	0.02477762400644371	0.07708905844306367	0	0	5.15375175315568	19.057616884546615	FGF5;CEMIP;BDNF
positive regulation of cell killing (GO:0031343)	1/15	0.025207321878441238	0.07708905844306367	0	0	43.18614718614719	158.95183056590525	WNT5A
regulation of T cell chemotaxis (GO:0010819)	1/15	0.025207321878441238	0.07708905844306367	0	0	43.18614718614719	158.95183056590525	WNT5A
