Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
abnormal autopod morphology MP:0000572	2/50	0.003265007400933762	0.07309896558686325	0	0	25.934895833333332	148.46413612460563	FBN2;WNT5A
abnormal mandible morphology MP:0000458	2/51	0.0033946654206806373	0.07309896558686325	0	0	25.404336734693878	144.43762858756824	FBN2;TNFRSF11B
abnormal urinary bladder morphology MP:0000538	2/52	0.003526704480067964	0.07309896558686325	0	0	24.895	140.5918093795177	GREM1;WNT5A
short mandible MP:0000088	2/57	0.004222336614737493	0.07377902537721841	0	0	22.626136363636363	123.7053823319786	COL11A1;WNT5A
abnormal cochlea morphology MP:0000031	2/57	0.004222336614737493	0.07377902537721841	0	0	22.626136363636363	123.7053823319786	BDNF;COL11A1
vertebral fusion MP:0004609	2/57	0.004222336614737493	0.07377902537721841	0	0	22.626136363636363	123.7053823319786	FBN2;WNT5A
abnormal long bone morphology MP:0003723	2/57	0.004222336614737493	0.07377902537721841	0	0	22.626136363636363	123.7053823319786	GREM1;TNFRSF11B
abnormal hindlimb morphology MP:0000556	2/58	0.00436849492365109	0.07377902537721841	0	0	22.220982142857142	120.73407868148206	GREM1;COL11A1
abnormal long bone epiphyseal plate morphology MP:0003055	2/61	0.004820891778469565	0.07523220427528839	0	0	21.08792372881356	112.49977857452087	COL11A1;TNFRSF11B
micrognathia MP:0002639	2/61	0.004820891778469565	0.07523220427528839	0	0	21.08792372881356	112.49977857452087	FBN2;WNT5A
cyanosis MP:0001575	3/206	0.005094023155323627	0.07523220427528839	0	0	9.421420626092484	49.74215536293804	GREM1;LOX;LOXL2
decreased body length MP:0001258	4/415	0.00517990823280533	0.07523220427528839	0	0	6.343876723438767	33.387619801523115	FBN2;COLEC10;PAPPA;WNT5A
abnormal colon morphology MP:0000495	2/64	0.005294007224415727	0.07523220427528839	0	0	20.06451612903226	105.16173684365728	BDNF;WNT5A
abnormal brain morphology MP:0002152	3/211	0.00544443583571166	0.07523220427528839	0	0	9.192617866004962	47.92259822845533	FBN2;OXTR;TNFRSF11B
abnormal intestine morphology MP:0000477	2/72	0.006655347029609498	0.07982318594839725	0	0	17.764285714285716	89.04054540085103	BDNF;WNT5A
delayed bone ossification MP:0000060	2/73	0.006835572611732835	0.07982318594839725	0	0	17.513204225352112	87.31409431287084	PAPPA;WNT5A
abnormal skeleton development MP:0002113	2/79	0.00796306553563679	0.07982318594839725	0	0	16.14366883116883	78.02140279000004	FBN2;TNFRSF11B
neonatal lethality, complete penetrance MP:0011087	4/481	0.008656734905797013	0.07982318594839725	0	0	5.4476589797344515	25.873207759461028	GREM1;COL11A1;SCN9A;WNT5A
anosmia MP:0004512	1/6	0.010157908740538318	0.07982318594839725	0	0	120.97575757575757	555.2185648964451	SCN9A
atrium hypoplasia MP:0004055	1/6	0.010157908740538318	0.07982318594839725	0	0	120.97575757575757	555.2185648964451	TBX5
abnormal anus morphology MP:0005034	1/6	0.010157908740538318	0.07982318594839725	0	0	120.97575757575757	555.2185648964451	WNT5A
calcified artery MP:0006133	1/6	0.010157908740538318	0.07982318594839725	0	0	120.97575757575757	555.2185648964451	TNFRSF11B
abnormal barrel cortex morphology MP:0003989	1/6	0.010157908740538318	0.07982318594839725	0	0	120.97575757575757	555.2185648964451	BDNF
pulmonary artery stenosis MP:0010457	1/6	0.010157908740538318	0.07982318594839725	0	0	120.97575757575757	555.2185648964451	LOX
sinoatrial block MP:0010520	1/6	0.010157908740538318	0.07982318594839725	0	0	120.97575757575757	555.2185648964451	TBX5
small Meckel's cartilage MP:0030026	1/6	0.010157908740538318	0.07982318594839725	0	0	120.97575757575757	555.2185648964451	COL11A1
abnormal cutaneous elastic fiber morphology MP:0008418	1/6	0.010157908740538318	0.07982318594839725	0	0	120.97575757575757	555.2185648964451	LOX
abnormal serotonergic neuron morphology MP:0003877	1/6	0.010157908740538318	0.07982318594839725	0	0	120.97575757575757	555.2185648964451	BDNF
abnormal somatic sensory system morphology MP:0000959	1/6	0.010157908740538318	0.07982318594839725	0	0	120.97575757575757	555.2185648964451	BDNF
vestigial tail MP:0002632	1/6	0.010157908740538318	0.07982318594839725	0	0	120.97575757575757	555.2185648964451	WNT5A
increased primordial germ cell apoptosis MP:0030935	1/6	0.010157908740538318	0.07982318594839725	0	0	120.97575757575757	555.2185648964451	WNT5A
abnormal tumor pathology MP:0010639	1/6	0.010157908740538318	0.07982318594839725	0	0	120.97575757575757	555.2185648964451	LOXL2
abnormal ureteric bud elongation MP:0010982	1/6	0.010157908740538318	0.07982318594839725	0	0	120.97575757575757	555.2185648964451	GREM1
decreased tracheal cartilage ring number MP:0004551	1/6	0.010157908740538318	0.07982318594839725	0	0	120.97575757575757	555.2185648964451	WNT5A
absent caudal vertebrae MP:0004653	1/6	0.010157908740538318	0.07982318594839725	0	0	120.97575757575757	555.2185648964451	WNT5A
micromelia MP:0008736	1/6	0.010157908740538318	0.07982318594839725	0	0	120.97575757575757	555.2185648964451	COL11A1
abnormal milk ejection MP:0003838	1/6	0.010157908740538318	0.07982318594839725	0	0	120.97575757575757	555.2185648964451	OXTR
abnormal skin morphology MP:0002060	3/268	0.010478945231841312	0.07982318594839725	0	0	7.194522215459525	32.79541834377862	FBN2;LOX;TNFRSF11B
abnormal neuron apoptosis MP:0003202	1/7	0.011841135434323054	0.07982318594839725	0	0	100.8080808080808	447.2023640851642	BDNF
abnormal atrioventricular node conduction MP:0006141	1/7	0.011841135434323054	0.07982318594839725	0	0	100.8080808080808	447.2023640851642	TBX5
abnormal bronchiole epithelium morphology MP:0010897	1/7	0.011841135434323054	0.07982318594839725	0	0	100.8080808080808	447.2023640851642	LOX
small L4 dorsal root ganglion MP:0001021	1/7	0.011841135434323054	0.07982318594839725	0	0	100.8080808080808	447.2023640851642	BDNF
abnormal costal cartilage morphology MP:0006432	1/7	0.011841135434323054	0.07982318594839725	0	0	100.8080808080808	447.2023640851642	COL11A1
thin parietal bone MP:0030281	1/7	0.011841135434323054	0.07982318594839725	0	0	100.8080808080808	447.2023640851642	TNFRSF11B
decreased hippocampus volume MP:0020083	1/7	0.011841135434323054	0.07982318594839725	0	0	100.8080808080808	447.2023640851642	BDNF
abnormal hyaline cartilage morphology MP:0006429	1/7	0.011841135434323054	0.07982318594839725	0	0	100.8080808080808	447.2023640851642	COL11A1
abnormal knee joint morphology MP:0030837	1/7	0.011841135434323054	0.07982318594839725	0	0	100.8080808080808	447.2023640851642	COL11A1
absent cochlear outer hair cells MP:0004403	1/7	0.011841135434323054	0.07982318594839725	0	0	100.8080808080808	447.2023640851642	COL11A1
deafness MP:0001967	2/99	0.012275199586674555	0.07982318594839725	0	0	12.802190721649485	56.3318711837846	BDNF;TNFRSF11B
abnormal CNS synaptic transmission MP:0002206	2/104	0.013481645610026757	0.07982318594839725	0	0	12.17156862745098	52.41596085236459	CHRM2;BDNF
abnormal axon pruning MP:0008960	1/8	0.013521584565055974	0.07982318594839725	0	0	86.40259740259741	371.8308142207318	BDNF
abnormal pulmonary acinus morphology MP:0010911	1/8	0.013521584565055974	0.07982318594839725	0	0	86.40259740259741	371.8308142207318	LOX
abnormal gastric gland morphology MP:0003892	1/8	0.013521584565055974	0.07982318594839725	0	0	86.40259740259741	371.8308142207318	FOXL1
decreased susceptibility to atherosclerosis MP:0005341	1/8	0.013521584565055974	0.07982318594839725	0	0	86.40259740259741	371.8308142207318	TNFSF4
abnormal limb mesenchyme morphology MP:0011261	1/8	0.013521584565055974	0.07982318594839725	0	0	86.40259740259741	371.8308142207318	GREM1
absent metanephros MP:0011366	1/8	0.013521584565055974	0.07982318594839725	0	0	86.40259740259741	371.8308142207318	GREM1
abnormal aorta elastic tissue morphology MP:0009862	1/9	0.01519926045554118	0.07982318594839725	0	0	75.59848484848484	316.4936999007962	LOX
hemothorax MP:0005243	1/9	0.01519926045554118	0.07982318594839725	0	0	75.59848484848484	316.4936999007962	LOX
pulmonary artery hypoplasia MP:0010460	1/9	0.01519926045554118	0.07982318594839725	0	0	75.59848484848484	316.4936999007962	WNT5A
small geniculate ganglion MP:0001083	1/9	0.01519926045554118	0.07982318594839725	0	0	75.59848484848484	316.4936999007962	BDNF
small nodose ganglion MP:0001088	1/9	0.01519926045554118	0.07982318594839725	0	0	75.59848484848484	316.4936999007962	BDNF
spinning MP:0001411	1/9	0.01519926045554118	0.07982318594839725	0	0	75.59848484848484	316.4936999007962	BDNF
abnormal gallbladder physiology MP:0005085	1/9	0.01519926045554118	0.07982318594839725	0	0	75.59848484848484	316.4936999007962	CHRM2
increased stomach mucosa thickness MP:0005211	1/9	0.01519926045554118	0.07982318594839725	0	0	75.59848484848484	316.4936999007962	FOXL1
increased susceptibility to atherosclerosis MP:0005339	1/9	0.01519926045554118	0.07982318594839725	0	0	75.59848484848484	316.4936999007962	TNFSF4
abnormal ureteric bud invasion MP:0010983	1/9	0.01519926045554118	0.07982318594839725	0	0	75.59848484848484	316.4936999007962	GREM1
abnormal kindling response MP:0001499	1/9	0.01519926045554118	0.07982318594839725	0	0	75.59848484848484	316.4936999007962	SCN9A
short snout MP:0000445	2/113	0.015777595788599556	0.07982318594839725	0	0	11.179617117117116	46.38606860239311	COL11A1;WNT5A
abnormal vertebrae morphology MP:0000137	2/117	0.016848248650897457	0.07982318594839725	0	0	10.788586956521739	44.05528724355415	COLEC10;WNT5A
aortic aneurysm MP:0006278	1/10	0.016874167453351394	0.07982318594839725	0	0	67.1952861952862	274.2892350890436	LOX
abnormal aorta smooth muscle morphology MP:0009865	1/10	0.016874167453351394	0.07982318594839725	0	0	67.1952861952862	274.2892350890436	LOX
abnormal auchene hair morphology MP:0000405	1/10	0.016874167453351394	0.07982318594839725	0	0	67.1952861952862	274.2892350890436	FGF5
hemoperitoneum MP:0005435	1/10	0.016874167453351394	0.07982318594839725	0	0	67.1952861952862	274.2892350890436	LOX
impaired smooth muscle contractility MP:0000740	1/10	0.016874167453351394	0.07982318594839725	0	0	67.1952861952862	274.2892350890436	CHRM2
abnormal primordial germ cell migration MP:0002982	1/10	0.016874167453351394	0.07982318594839725	0	0	67.1952861952862	274.2892350890436	WNT5A
small petrosal ganglion MP:0001085	1/10	0.016874167453351394	0.07982318594839725	0	0	67.1952861952862	274.2892350890436	BDNF
small vestibular ganglion MP:0003987	1/10	0.016874167453351394	0.07982318594839725	0	0	67.1952861952862	274.2892350890436	BDNF
abnormal trabecular bone morphology MP:0000130	2/122	0.018229105469487444	0.07982318594839725	0	0	10.336458333333333	41.394784325870006	COL11A1;TNFRSF11B
postnatal growth retardation MP:0001732	4/603	0.018535344289166627	0.07982318594839725	0	0	4.3109627156371735	17.1924463717903	FBN2;BDNF;TNFRSF11B;FOXL1
aorta stenosis MP:0010463	1/11	0.018546309917010683	0.07982318594839725	0	0	60.472727272727276	241.13405880391542	LOX
abnormal otic capsule morphology MP:0000039	1/11	0.018546309917010683	0.07982318594839725	0	0	60.472727272727276	241.13405880391542	TNFRSF11B
abnormal diaphragm development MP:0012251	1/11	0.018546309917010683	0.07982318594839725	0	0	60.472727272727276	241.13405880391542	LOX
abnormal geniculate ganglion morphology MP:0001082	1/11	0.018546309917010683	0.07982318594839725	0	0	60.472727272727276	241.13405880391542	BDNF
abnormal thoracic cavity morphology MP:0004733	1/11	0.018546309917010683	0.07982318594839725	0	0	60.472727272727276	241.13405880391542	WNT5A
increased skeletal muscle mass MP:0004818	1/11	0.018546309917010683	0.07982318594839725	0	0	60.472727272727276	241.13405880391542	FBN2
no abnormal phenotype detected MP:0002169	7/1654	0.01935599116718884	0.07982318594839725	0	0	2.883649283770717	11.375284988938303	RAB3B;OXTR;BDNF;PAPPA;SCN9A;WNT5A;TBX5
decreased brain size MP:0000774	2/127	0.019656438898232948	0.07982318594839725	0	0	9.9205	38.981119800380284	BDNF;TNFRSF11B
prolonged P wave MP:0004071	1/12	0.020215692219209058	0.07982318594839725	0	0	54.972451790633606	214.4638136267328	TBX5
abnormal colon goblet cell morphology MP:0013795	1/12	0.020215692219209058	0.07982318594839725	0	0	54.972451790633606	214.4638136267328	BDNF
abnormal sensory neuron morphology MP:0000965	1/12	0.020215692219209058	0.07982318594839725	0	0	54.972451790633606	214.4638136267328	BDNF
abnormal vestibular ganglion morphology MP:0002856	1/12	0.020215692219209058	0.07982318594839725	0	0	54.972451790633606	214.4638136267328	BDNF
abnormal mesenchyme morphology MP:0006301	1/12	0.020215692219209058	0.07982318594839725	0	0	54.972451790633606	214.4638136267328	WNT5A
excessive scratching MP:0001412	1/12	0.020215692219209058	0.07982318594839725	0	0	54.972451790633606	214.4638136267328	BDNF
anal atresia MP:0003130	1/12	0.020215692219209058	0.07982318594839725	0	0	54.972451790633606	214.4638136267328	WNT5A
abnormal cytokine secretion MP:0003009	2/133	0.021429409424442845	0.07982318594839725	0	0	9.463263358778626	36.367236185581305	TNFSF4;PDCD1LG2
decreased T cell proliferation MP:0005095	2/133	0.021429409424442845	0.07982318594839725	0	0	9.463263358778626	36.367236185581305	TNFSF4;PDCD1LG2
abnormal aorta wall morphology MP:0009866	1/13	0.021882318729235836	0.07982318594839725	0	0	50.388888888888886	192.59017962885017	LOX
abnormal somatic nervous system morphology MP:0002752	1/13	0.021882318729235836	0.07982318594839725	0	0	50.388888888888886	192.59017962885017	BDNF
abnormal hair cycle anagen phase MP:0008858	1/13	0.021882318729235836	0.07982318594839725	0	0	50.388888888888886	192.59017962885017	FGF5
abnormal jejunum morphology MP:0004002	1/13	0.021882318729235836	0.07982318594839725	0	0	50.388888888888886	192.59017962885017	FOXL1
absent atrioventricular cushions MP:0000298	1/13	0.021882318729235836	0.07982318594839725	0	0	50.388888888888886	192.59017962885017	TBX5
prolonged PQ interval MP:0011953	1/14	0.023546193825120534	0.07982318594839725	0	0	46.51048951048951	174.35810878919273	TBX5
protruding tongue MP:0009908	1/14	0.023546193825120534	0.07982318594839725	0	0	46.51048951048951	174.35810878919273	COL11A1
short vertebral column MP:0004704	1/14	0.023546193825120534	0.07982318594839725	0	0	46.51048951048951	174.35810878919273	WNT5A
abnormal rectum morphology MP:0000492	1/14	0.023546193825120534	0.07982318594839725	0	0	46.51048951048951	174.35810878919273	WNT5A
abnormal renal/urinary system morphology MP:0000516	1/14	0.023546193825120534	0.07982318594839725	0	0	46.51048951048951	174.35810878919273	SCN9A
small vertebrae MP:0004610	1/14	0.023546193825120534	0.07982318594839725	0	0	46.51048951048951	174.35810878919273	WNT5A
abnormal seizure response to electrical stimulation MP:0001650	1/14	0.023546193825120534	0.07982318594839725	0	0	46.51048951048951	174.35810878919273	SCN9A
abnormal small intestine crypts of Lieberkuhn morphology MP:0004841	1/14	0.023546193825120534	0.07982318594839725	0	0	46.51048951048951	174.35810878919273	FOXL1
ventricular tachycardia MP:0008950	1/14	0.023546193825120534	0.07982318594839725	0	0	46.51048951048951	174.35810878919273	TBX5
increased metanephric mesenchyme apoptosis MP:0011386	1/14	0.023546193825120534	0.07982318594839725	0	0	46.51048951048951	174.35810878919273	GREM1
abnormal GABAergic neuron morphology MP:0003245	1/14	0.023546193825120534	0.07982318594839725	0	0	46.51048951048951	174.35810878919273	BDNF
abnormal zigzag hair morphology MP:0000402	1/14	0.023546193825120534	0.07982318594839725	0	0	46.51048951048951	174.35810878919273	FGF5
lactation failure MP:0010249	1/14	0.023546193825120534	0.07982318594839725	0	0	46.51048951048951	174.35810878919273	OXTR
lethality during fetal growth through weaning, incomplete penetrance MP:0011112	1/14	0.023546193825120534	0.07982318594839725	0	0	46.51048951048951	174.35810878919273	LOXL2
abnormal motor capabilities/coordination/movement MP:0002066	2/145	0.02516682012621254	0.07982318594839725	0	0	8.663898601398602	31.90245706890262	FBN2;BDNF
fused phalanges MP:0008730	1/15	0.025207321878441238	0.07982318594839725	0	0	43.18614718614719	158.95183056590525	FBN2
abnormal apical ectodermal ridge morphology MP:0001676	1/15	0.025207321878441238	0.07982318594839725	0	0	43.18614718614719	158.95183056590525	GREM1
abnormal blood flow velocity MP:0000233	1/15	0.025207321878441238	0.07982318594839725	0	0	43.18614718614719	158.95183056590525	LOX
common atrium MP:0010406	1/15	0.025207321878441238	0.07982318594839725	0	0	43.18614718614719	158.95183056590525	TBX5
increased aggression towards males MP:0001354	1/15	0.025207321878441238	0.07982318594839725	0	0	43.18614718614719	158.95183056590525	BDNF
increased neuron number MP:0008947	1/15	0.025207321878441238	0.07982318594839725	0	0	43.18614718614719	158.95183056590525	BDNF
increased susceptibility to autoimmune diabetes MP:0004803	1/15	0.025207321878441238	0.07982318594839725	0	0	43.18614718614719	158.95183056590525	PDCD1LG2
abnormal liver vasculature morphology MP:0009820	1/15	0.025207321878441238	0.07982318594839725	0	0	43.18614718614719	158.95183056590525	LOXL2
ostium primum atrial septal defect MP:0010404	1/15	0.025207321878441238	0.07982318594839725	0	0	43.18614718614719	158.95183056590525	TBX5
decreased bronchoconstrictive response MP:0012125	1/16	0.02686570725940496	0.082219882619387	0	0	40.3050505050505	145.77952373263088	CHRM2
abnormal serotonin level MP:0005322	1/16	0.02686570725940496	0.082219882619387	0	0	40.3050505050505	145.77952373263088	BDNF
abnormal sinoatrial node conduction MP:0006142	1/16	0.02686570725940496	0.082219882619387	0	0	40.3050505050505	145.77952373263088	TBX5
abnormal stomach glandular epithelium morphology MP:0000473	1/16	0.02686570725940496	0.082219882619387	0	0	40.3050505050505	145.77952373263088	FOXL1
decreased sensory neuron number MP:0000966	1/16	0.02686570725940496	0.082219882619387	0	0	40.3050505050505	145.77952373263088	BDNF
respiratory failure MP:0001953	2/152	0.027461289425404604	0.0823147948004568	0	0	8.256666666666666	29.682534386283027	COL11A1;WNT5A
small ears MP:0000018	1/17	0.028521354338754766	0.0823147948004568	0	0	37.78409090909091	134.401872793062	WNT5A
abnormal pulmonary elastic fiber morphology MP:0003209	1/17	0.028521354338754766	0.0823147948004568	0	0	37.78409090909091	134.401872793062	LOX
abnormal pup retrieval MP:0001384	1/17	0.028521354338754766	0.0823147948004568	0	0	37.78409090909091	134.401872793062	OXTR
small trigeminal ganglion MP:0001093	1/17	0.028521354338754766	0.0823147948004568	0	0	37.78409090909091	134.401872793062	BDNF
decreased trabecular bone mass MP:0010873	1/17	0.028521354338754766	0.0823147948004568	0	0	37.78409090909091	134.401872793062	TNFRSF11B
decreased tumor latency MP:0010308	1/17	0.028521354338754766	0.0823147948004568	0	0	37.78409090909091	134.401872793062	LOX
dilated respiratory conducting tubes MP:0010856	1/17	0.028521354338754766	0.0823147948004568	0	0	37.78409090909091	134.401872793062	LOX
abnormal lung interstitium morphology MP:0002276	1/17	0.028521354338754766	0.0823147948004568	0	0	37.78409090909091	134.401872793062	WNT5A
cleft palate MP:0000111	2/157	0.029150242539553697	0.08360069558513512	0	0	7.988306451612903	28.240996257990815	COL11A1;WNT5A
abnormal cell-mediated immunity MP:0002421	1/18	0.030174267482518016	0.0838991827562696	0	0	35.559714795008915	124.48623298308226	TNFSF4
abnormal digestive system development MP:0003119	1/18	0.030174267482518016	0.0838991827562696	0	0	35.559714795008915	124.48623298308226	WNT5A
abnormal lung epithelium morphology MP:0006382	1/18	0.030174267482518016	0.0838991827562696	0	0	35.559714795008915	124.48623298308226	GREM1
absent ureter MP:0003722	1/18	0.030174267482518016	0.0838991827562696	0	0	35.559714795008915	124.48623298308226	GREM1
osteoarthritis MP:0003560	1/18	0.030174267482518016	0.0838991827562696	0	0	35.559714795008915	124.48623298308226	COL11A1
decreased chemically-elicited antinociception MP:0001982	1/19	0.031824451052594106	0.08516575254365716	0	0	33.582491582491585	115.77632426352072	CHRM2
increased cellular sensitivity to hydrogen peroxide MP:0008406	1/19	0.031824451052594106	0.08516575254365716	0	0	33.582491582491585	115.77632426352072	STC2
decreased colon length MP:0013956	1/19	0.031824451052594106	0.08516575254365716	0	0	33.582491582491585	115.77632426352072	WNT5A
abnormal gastric chief cell morphology MP:0004140	1/19	0.031824451052594106	0.08516575254365716	0	0	33.582491582491585	115.77632426352072	FOXL1
abnormal heart rate MP:0001629	1/19	0.031824451052594106	0.08516575254365716	0	0	33.582491582491585	115.77632426352072	CHRM2
abnormal metanephric mesenchyme morphology MP:0010984	1/19	0.031824451052594106	0.08516575254365716	0	0	33.582491582491585	115.77632426352072	GREM1
abnormal blood vessel morphology MP:0001614	2/165	0.031937157203871434	0.08516575254365716	0	0	7.593174846625767	26.15078137075056	LOX;TNFSF4
atrioventricular block MP:0010519	1/20	0.033471909401101146	0.08574826228596698	0	0	31.8133971291866	108.07165990908112	TBX5
hypoalgesia MP:0003043	1/20	0.033471909401101146	0.08574826228596698	0	0	31.8133971291866	108.07165990908112	SCN9A
abnormal bone marrow cavity morphology MP:0000065	1/20	0.033471909401101146	0.08574826228596698	0	0	31.8133971291866	108.07165990908112	COL11A1
small dorsal root ganglion MP:0000964	1/20	0.033471909401101146	0.08574826228596698	0	0	31.8133971291866	108.07165990908112	BDNF
decreased skin tensile strength MP:0003089	1/20	0.033471909401101146	0.08574826228596698	0	0	31.8133971291866	108.07165990908112	LOX
insulitis MP:0004031	1/20	0.033471909401101146	0.08574826228596698	0	0	31.8133971291866	108.07165990908112	PDCD1LG2
abnormal mechanical nociception MP:0002734	1/20	0.033471909401101146	0.08574826228596698	0	0	31.8133971291866	108.07165990908112	SCN9A
fragile skeleton MP:0000061	1/21	0.035116646880288954	0.08640181720036405	0	0	30.221212121212123	101.21325681429822	TNFRSF11B
increased aggression towards mice MP:0001353	1/21	0.035116646880288954	0.08640181720036405	0	0	30.221212121212123	101.21325681429822	OXTR
increased immature B cell number MP:0008214	1/21	0.035116646880288954	0.08640181720036405	0	0	30.221212121212123	101.21325681429822	TNFRSF11B
increased susceptibility to age related obesity MP:0003212	1/21	0.035116646880288954	0.08640181720036405	0	0	30.221212121212123	101.21325681429822	BDNF
increased susceptibility to age-related hearing loss MP:0004748	1/21	0.035116646880288954	0.08640181720036405	0	0	30.221212121212123	101.21325681429822	TNFRSF11B
abnormal long bone epiphysis morphology MP:0000131	1/21	0.035116646880288954	0.08640181720036405	0	0	30.221212121212123	101.21325681429822	TNFRSF11B
abnormal nail morphology MP:0000579	1/22	0.03675866784401453	0.08640181720036405	0	0	28.78066378066378	95.0735042734142	FBN2
proportional dwarf MP:0008974	1/22	0.03675866784401453	0.08640181720036405	0	0	28.78066378066378	95.0735042734142	PAPPA
cleft upper lip MP:0005170	1/22	0.03675866784401453	0.08640181720036405	0	0	28.78066378066378	95.0735042734142	WNT5A
abnormal crista ampullaris morphology MP:0004249	1/22	0.03675866784401453	0.08640181720036405	0	0	28.78066378066378	95.0735042734142	BDNF
abnormal cutaneous collagen fibril morphology MP:0008438	1/22	0.03675866784401453	0.08640181720036405	0	0	28.78066378066378	95.0735042734142	LOX
abnormal endochondral bone ossification MP:0008272	1/22	0.03675866784401453	0.08640181720036405	0	0	28.78066378066378	95.0735042734142	COL11A1
abnormal stapes morphology MP:0005107	1/22	0.03675866784401453	0.08640181720036405	0	0	28.78066378066378	95.0735042734142	TNFRSF11B
abnormal tracheal cartilage morphology MP:0003120	1/22	0.03675866784401453	0.08640181720036405	0	0	28.78066378066378	95.0735042734142	COL11A1
abnormal tumor vascularization MP:0010144	1/22	0.03675866784401453	0.08640181720036405	0	0	28.78066378066378	95.0735042734142	ADAMTS12
abnormal keratinocyte morphology MP:0002655	1/22	0.03675866784401453	0.08640181720036405	0	0	28.78066378066378	95.0735042734142	BDNF
increased sensitivity to induced morbidity/mortality MP:0009763	2/181	0.037812019442048206	0.08798732331569174	0	0	6.908868715083799	22.62743111980503	LOX;PDCD1LG2
abnormal pulmonary artery morphology MP:0000484	1/23	0.038397976622418103	0.08798732331569174	0	0	27.47107438016529	89.54884880069255	LOX
abnormal synaptic plasticity MP:0004859	1/23	0.038397976622418103	0.08798732331569174	0	0	27.47107438016529	89.54884880069255	BDNF
abnormal gastric parietal cell morphology MP:0004139	1/23	0.038397976622418103	0.08798732331569174	0	0	27.47107438016529	89.54884880069255	FOXL1
abnormal impulse conducting system conduction MP:0003137	1/23	0.038397976622418103	0.08798732331569174	0	0	27.47107438016529	89.54884880069255	TBX5
abnormal primitive streak formation MP:0002230	1/24	0.04003457755707583	0.08862022993216785	0	0	26.27536231884058	84.55442492330164	WNT5A
abnormal small intestinal villus morphology MP:0008108	1/24	0.04003457755707583	0.08862022993216785	0	0	26.27536231884058	84.55442492330164	FOXL1
abnormal epiphyseal plate morphology MP:0006395	1/24	0.04003457755707583	0.08862022993216785	0	0	26.27536231884058	84.55442492330164	COL11A1
decreased lung weight MP:0005631	1/24	0.04003457755707583	0.08862022993216785	0	0	26.27536231884058	84.55442492330164	LOX
abnormal keratinocyte differentiation MP:0002656	1/24	0.04003457755707583	0.08862022993216785	0	0	26.27536231884058	84.55442492330164	LOXL2
